topic0,autos,auto,fahrzeug,herstell,pkw,autoindustri,kfz,vda,diesel,fahr,lit,pro,autofahr,verbrauch,automobilindustri,motor,wag,kilomet,benzin,gottschalk,branch,steu,neuwag,autoherstell,abwrackprami,iaa,modell,gramm,neuzulass,schwer,automobil,sparsam,fahrt,verband,kraftstoff,zugelass,adac,je,umweltfreund,handl,nutzfahrzeug,antrieb,hybrid,grenzwert,prami,sixt,kost,batteri,einheit,benzinpreis,verkauft,autokauf,einfuhr,absatz,strass,ps,entsprech,erreich,kauf,zulass,main,teur,acht,deutschen_hersteller,sprit,ausstoss,technisch,verkehr,alternativ,werkstatt,verband_der_automobilindustrie,automarkt,elektroautos,rad,fahrrad,kraftfahrzeug,durchschnitt,autobranch,bring,tankstell,brennstoffzell,treibstoff,cent,autobau,nachfrag,katalysator,senk,tempolimit,mobilitat,automobilherstell,flott,gesamt,bislang,motorrad,technik,belast,biodiesel,importeur,dieselmotor,autovermiet
 ,0.013,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,ubernahm,fusion,konz,konzern,geschaft,zusammenschluss,konkurrent,partn,zukauf,strategi,tocht,strateg,grupp,spart,numm,akquisition,global,aktivitat,konsolidier,branch,fuhrend,ge,amerikan,allianz,ubernomm,kooperation,expansion,position,wachs,ubernehm,marktfuhr,zusamm,deal,konzentration,management,konzentri,marktanteil,synergi,umsatz,integration,kerngeschaft,ausbau,britisch,group,vorstandschef,transaktion,aktionar,wettbewerb,geschaftsfeld,nam,zweitgrosst,klein,fusioniert,verschmelz,general_electric,franzos,dach,corp,schritt,plan,konzentriert,gemeinschaftsunternehm,zusammengeh,drittgrosst,konzernchef,kauft,analyst,ries,joint_venture,erfolgreich,geschaftsbereich,aktiv,konkurrenz,baut,prasenz,holding,ubernimmt,verkauf,fusioni,inc,gehort,weltgrosst,mischkonz,europas,aufgestellt,erganz,weltmarktfuhr,joint,eigenstand,gehor,integriert,niederland,play,profitabl,abgeschloss,zuletzt,merg,milliarden_dollar,struktur,sitz
 ,0.044,0.042,0.032,0.023,0.018,0.015,0.013,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic12,urteil,klag,gericht,karlsruh,jurist,verfahr,bundesverfassungsgericht,grundgesetz,rechtlich,anwalt,entschied,gesetzgeb,gesetz,vertrag,verstoss,grundsatz,artikel,anspruch,darf,eugh,beschluss,geltend,durf,zulass,antrag,begrund,regel,beruf,senat,bgh,rechtsprech,schutz,verfass,verfassungsrecht,ansicht,verfassungsgericht,verfassungswidr,zustand,rechtsanwalt,vereinbar,auffass,beschwerd,betroff,oberst,verpflichtet,bundesgerichtshof,streit,instanz,gutacht,ausdruck,verbot,bestatigt,unzulass,pruf,dusseldorf,allgemein,abs,richt,geklagt,az,kassel,eingereicht,interess,begrundet,burg,grundrecht,art,rechtsstreit,bedenk,verletz,verletzt,pflicht,sach,verfassungsricht,gerichtshof,verlangt,rechtswidr,verlang,argumentiert,erlaubt,gmelin,verwaltungsgericht,geschutzt,grundlag,landgericht,oberlandesgericht,kanzlei,kundig,praxis,erheb,prufung,meinung,verfassungsbeschwerd,schriftlich,zypri,angemess,anordn,klagt,widerspruch,zweit
 ,0.029,0.027,0.027,0.016,0.012,0.011,0.011,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,meint,off,bring,bekomm,daran,tur,hand,fest,voll,zweit,tun,genug,fuss,brauch,sag,gemacht,schwer,aug,glaubt,nehm,genau,bald,wiss,beweg,fass,gleich,niemand,druck,schwierig,wunsch,chanc,uberzeugt,zusamm,blick,braucht,bevor,einfach,dau,gang,notig,dennoch,dritt,hoff,helf,mocht,lauf,gar,liess,richtig,find,sach,vollig,langsam,stund,dreh,versuch,leg,probl,darum,lasst,auss,offn,erfahr,hofft,wohl,behalt,uberhaupt,zeig,kurz,morg,vorbei,darub,gebracht,such,schliesslich,gekomm,einzig,anfang,zieh,schliess,wann,nie,erreich,griff,tor,bringt,versucht,denkt,mach,tisch,fehl,hang,spricht,tempo,eigent,lauft,moment,geduld,beginnt,inzwisch
 ,0.039,0.021,0.017,0.014,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic14,allianz,versicher,versich,lebensversicher,kund,vertrag,gesellschaft,versichert,prami,schad,münchener_rück,leb,branch,privat,risik,geschaft,munch,gerling,polic,versicherungswirtschaft,re,ruckversich,beitrag,ruck,axa,lebensversich,finanzdienstleist,grupp,neugeschaft,koln,abgeschloss,assekuranz,mlp,lif,kapitalanlag,kost,ruckversicher,ergo,beitragseinnahm,awd,allgemein,hdi,risiko,gesamt,dah,gdv,generali,anbiet,swiss,versicherungsgrupp,vorstand,versicherungsunternehm,verlust,dusseldorf,tarif,krankenversicher,abschluss,bestand,kfz,versicherungskonz,vertret,kundig,genannt,reserv,spart,zahlt,ausserd,vermittl,mannheim,versicherungsbranch,versicherungsgesellschaft,versicherungsschutz,beteil,gesamtverband,noell,makl,vertrieb,amb,versicherungsmarkt,unfall,gehor,erhoht,tocht,absicher,sach,aach,finanziell,versicherungsgeschaft,altersvorsorg,beispielsweis,laufend,colonia,pramieneinnahm,erhoh,ag,rechn,abschliess,gunstig,vorsorg,ertrag
 ,0.047,0.042,0.033,0.014,0.014,0.013,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic15,wohl,schliesslich,mal,gar,eigent,immerhin,zumind,gleich,scheint,lieb,lasst,lautet,eher,gern,ohnehin,heiss,wund,hand,jedenfall,statt,wind,vielleicht,sach,endlich,niemand,diesmal,arg,ausgerechnet,mag,namlich,wirklich,tisch,wer,mocht,wiss,eben,richtig,traum,freilich,sag,verkundet,nehm,uberhaupt,frisch,einfach,plotzlich,genau,ziemlich,durchaus,aug,her,hor,genug,kopf,stet,darf,dennoch,vorbei,bald,tat,gelass,daran,spricht,machtig,bos,bringt,motto,ide,gesicht,spatest,prasentiert,glaubt,braucht,schlagzeil,paar,fuhlt,fing,hut,glucklich,schweig,still,tut,kart,bevor,bitt,ton,eis,findet,lock,womog,ruh,ohr,ans,kolleg,richtung,denkt,fuhl,steckt,red,leg
 ,0.017,0.011,0.01,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic16,haus,leb,leut,stadt,strass,uhr,jahrig,erzahlt,ort,stund,besuch,paar,met,taglich,platz,kilomet,mal,buro,mann,entfernt,fahr,bild,dorf,sitz,nacht,morg,nah,geschaft,famili,wer,arbeitet,hundert,restaurant,wand,fahrt,tausend,lebt,blau,rot,sitzt,frau,stolz,uberall,weiss,gast,einfach,gebaud,fenst,grau,gehort,nam,tur,ess,blick,hauptstadt,erinnert,oft,firma,riesig,dutzend,hotel,heimat,abend,angestellt,job,leer,lasst,vorbei,lad,find,raum,minut,einst,herrscht,kopf,mitt,lieb,einwohn,park,traum,bewohn,reis,kolleg,sieb,arm,gebaut,alltag,klagt,bekomm,bar,dach,umgeb,verlass,viertel,zieht,gern,gegend,zentrum,unterweg,verkauft
 ,0.013,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic17,itali,italien,rom,mailand,fiat,berlusconi,mitt,prodi,lir,turin,silvio_berlusconi,la_repubblica,della,link,corri,sera,lira,berlusconis,romisch,romano_prodi,banca,ciampi,kommentiert,europas,dini,ministerprasident,schreibt,nord,olivetti,di,de,il,kamps,partn,meint,spa,la_stampa,zweit,pirelli,agnelli,amato,tremonti,telecom_italia,ausserd,allianz,paolo,innerhalb,schwierig,lega,zeitung,frankreich,regierungschef,montag,kris,bring,milliarden_lire,zunach,scheint,gebracht,fazio,enel,schwer,mediobanca,benetton,marchionn,nachd,neapel,vergang,massimo,italienische_regierung,bossi,gleich,fini,tageszeit,april,giulio,florenz,mafia,azeglio,ebenso,stund,auss,sergio,stet,römische_zeitung,lamberto,eni,zusamm,ruckkehr,parmalat,san,schatzminist,premi,padoa,handelt,schioppa,ging,dank,giovanni,sofort
 ,0.109,0.061,0.039,0.023,0.017,0.017,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic18,gesund,rauch,statt,zigarett,alkohol,verbot,ausserd,drog,gelt,gefahr,mindest,konsum,abhang,pro,hart,genuss,stuck,tabak,bat,beispiel,kampf,acht,merk,ahnlich,grenz,jugend,nahrung,nehm,meint,gebracht,genannt,sucht,automat,gemacht,ansicht,ging,bekomm,ebenfall,bislang,fuhrt,bestimmt,sogenannt,ebenso,bring,drittel,einschrank,gleichzeit,gaststatt,durf,wirkung,ngg,meng,zwolf,dritt,dennoch,greif,weich,versuch,ford,generell,and,halft,inzwisch,zustand,entsprech,raum,cent,drastisch,scharf,verzicht,obwohl,riegel,je,jahrlich,kampagn,zeig,zunehm,demnach,nimmt,gleich,hingeg,fest,bekannt,setz,philip_morris,danach,erlaubt,genomm,billig,sieb,taglich,erstmal,vergang,schwer,rauchverbot,liess,erfolg,daran,einzeln,regelmass
 ,0.017,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002
topic19,defizit,finanzminist,stabilitatspakt,haushalt,haushaltsdefizit,bip,ausgab,kommission,neuverschuld,brussel,prozent_des_bruttoinlandsprodukts,pakt,eichel,finanzpolit,einhalt,staatshaushalt,schuld,erreich,bruttoinlandsprodukt,staatsverschuld,budget,verschuld,staatsdefizit,maastricht,grenz,uberschreit,kommenden_jahr,almunia,wirtschaftswachstum,prozent_des_bip,staatsfinanz,ausgeg,stabilitat,haushaltspolit,druck,staatsausgab,strukturell,wahrungskommissar,abbau,minist,frankreich,obergrenz,spar,senk,defizitquot,prozent_des_bruttoinlandsproduktes,staatsschuld,konsolidier,sparkur,wirtschaftspolit,solb,uberschuss,steuersenk,vorgab,strikt,blau,verfahr,laufenden_jahr,zon,bundesfinanzminister_hans_eichel,sanktion,konjunktur,staatlich,wachstumspakt,erlaubt,steuereinnahm,spielraum,budgetdefizit,pedro_solbes,massnahm,defizitgrenz,uberschritt,defizitverfahr,brief,einzuhalt,verstoss,kriteri,okonom,schuldenstand,laufend,regeln,strafverfahr,eurozon,portugal,gesamtstaat,kriterium,etat,öffentlichen_haushalte,strukturreform,mittelfrist,droh,finanz,ausgeglichenen_haushalt,sozialversicher,nächsten_jahr,begrenz,haushaltskonsolidier,haushaltsdisziplin,erfull,ubermass
 ,0.055,0.038,0.024,0.017,0.014,0.014,0.012,0.012,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,fond,hedg,fondsmanag,investment,manag,fund,akti,anleg,investiert,performanc,portfolio,market,produkt,global,dws,emerging,aktienfond,investor,fondsgesellschaft,tabell,strategi,vermogensverwalt,anteil,zwolf,investi,branch,titel,aktuell,vergang,management,nachhalt,setz,verwaltet,position,wertentwickl,gesellschaft,portfolios,asset,rentenfond,asset_management,vergleich,bewert,platz,gewicht,index,schwellenland,best,beispielsweis,profiti,valu,rendit,dit,feri,deka,gehor,aktienmarkt,risiko,hb,investmentfond,rating,nebenwert,dachfond,engagement,aktiv,relativ,plus,erlautert,small,durchschnitt,msci,trend,interessant,vwd,institutionell,beispiel,rang,aufgelegt,erzielt,research,sieh,attraktiv,investmentgesellschaft,chanc,leit,fondsvermog,trust,uberdurchschnitt,equity,sektor,eher,depot,ausgerichtet,einzeln,growth,auswahl,gemanagt,breit,inv,top,ansatz
 ,0.073,0.018,0.015,0.013,0.013,0.012,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic21,betrieb,jugend,ausbild,handwerk,lehrstell,beruf,ausbildungsplatz,bewerb,angebot,zdh,lehrling,auszubild,abgab,schley,platz,zentralverband,abgeschloss,deutschen_handwerks,berufsausbild,weiterbild,beginn,chanc,ausgebildet,qualifiziert,ausbildungspakt,such,ausreich,verfug,off,bedarf,fachkraft,hann,pakt,kamm,bundesweit,schulabgang,handwerksbetrieb,dual,berufsbild,luck,fehlend,gefordert,vermittelt,freie,vorjahr,qualifikation,herb,septemb,gemeldet,einstell,genug,ausbildungsplatzabgab,junge_menschen,zweit,zusag,geschaff,fehl,arbeitsamt,vergangenen_jahr,freiwill,freien,handwerksprasident,jugendarbeitslos,find,handwerkskamm,gleichzeit,lehrstellenmarkt,anzubiet,ausbildungsjahr,ausbildungsabgab,jungen_menschen,besetzt,generalsekretar,situation,mangel,anstreng,ausbildungsvertrag,ruttg,umlag,bekomm,handelskamm,bundesanstalt_für_arbeit,kentzl,junge_leute,arbeitgeb,sucht,fehlt,ausbildungsmarkt,fachkraftemangel,unbesetzt,geeignet,vertrag,qualifizier,programm,bildung,dihk,wirtschaftsverband,mindest,verwalt,erheb
 ,0.039,0.037,0.037,0.034,0.022,0.021,0.019,0.015,0.015,0.009,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,hinzu,interview,fugt,samstag,sprach,montag,vorab,ansicht,sperrfrist,kritisiert,beitrag,nannt,zugleich,zeitung,aussert,bekraftigt,woll,wies,erteilt,lehnt,verlangt,unterdess,bezeichnet,absag,ausser,ausgesproch,notwend,ubermittelt,zdf,brauch,kundigt,meint,wort,pladiert,durf,gefordert,ard,berliner_zeitung,verteidigt,verwi,bild,redaktioneller_fassung,erschein,wochenendzusammenfass,rundfunk,aufgefordert,stellvertret,diskussion,welt_am_sonntag,neuen_osnabrücker_zeitung,bundeskanzler_gerhard_schröder,vernunft,appelliert,bild_am_sonntag,deutschlandfunk,tageszeit,red,gestellt,osnabruck,blick,mach,verantwort,gesagt,achtung,schloss,schlug,glaub,tun,warnt,raumt,morgenmagazin,wandt,unterstrich,sendung,dpa_in_redaktioneller_fassung,vollig,abend,leipziger_volkszeitung,warf,sag,tagesspiegel,samstagausgab,notig,neuen_presse,strikt,angekundigt,entschied,leist,deutschlandradio_berlin,klare_absage,richtig,sinn,absolut,sofort,express,inforadio,gesamtzusammenfass,ap,zuruckhalt,vorstell
 ,0.031,0.03,0.028,0.025,0.021,0.019,0.019,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic23,behord,vorwurf,information,bericht,bekannt,angeb,affar,mitarbeit,ausschuss,hinweis,untersuchungsausschuss,zustand,aufklar,skandal,damal,vorgang,akt,untersuch,offenbar,liby,gegeb,informiert,person,verdacht,stasi,geheimdien,auftrag,aussag,unterlag,verantwort,wiss,rechnungshof,erklar,konsequenz,bnd,offiziell,geheim,gerat,fehl,dokument,beamt,gemacht,pruf,journalist,ehemal,zusammenhang,uberpruf,geword,inzwisch,bestatigt,falsch,intern,kontakt,erkenntnis,dien,beweis,darstell,tatsach,auskunft,darub,berichtet,cia,gaddafi,nam,bundesrechnungshof,amt,agent,vertraulich,behaupt,list,anfrag,ddr,gekomm,behauptet,liess,kenntnis,libysch,antwort,versucht,genomm,vermut,gehabt,zweifel,zeug,moglicherweis,auss,offensicht,wed,raumt,umgang,vermutet,gefuhrt,licht,eingesetzt,prufung,wusst,nachd,verhalt,tatig,veroffentlich
 ,0.015,0.014,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,gewerkschaft,streik,arbeitgeb,beschaftigt,öffentlichen_dienst,beamt,ver,otv,di,verdi,angestellt,gehalt,angebot,mai,abschluss,tarifverhandl,arbeitskampf,warnstreik,dag,lohn,verhandl,tarifrund,hbv,dien,öffentlichen_dienstes,erhoh,tarifvertrag,beginn,tarifabschluss,verhandlungsfuhr,beamtenbund,bsirsk,mitglied,stund,druck,tarifkonflikt,urabstimm,montag,bund,einkomm,stuttgart,dienstleistungsgewerkschaft,verkehr,dbb,transport,lohnerhoh,ausstand,schlicht,verlangt,ig_medien,nullrund,hart,öffentliche_dienste,kommun,bezahl,april,schlichtung,ford,frank_bsirske,gehaltserhoh,durchsetz,versicher,droht,bundesweit,verhandlungsrund,dritt,angleich,privatwirtschaft,prozent_mehr_lohn,tarifstreit,kundigt,prozent_mehr_geld,oetv,gemeind,arbeitsniederleg,legt,tarifpartei,streikend,laufzeit,staatsdi,anheb,kommunal,herbert_mai,bezug,tarif,beteiligt,aktion,betroff,arbeitszeit,fortgesetzt,gescheitert,vorgelegt,mindest,raan,viert,marz,kanth,druckindustri,vertagt,einmalzahl
 ,0.059,0.038,0.023,0.022,0.021,0.018,0.015,0.015,0.014,0.014,0.013,0.013,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,brasili,mexiko,argentini,lateinamerika,brasilian,mexikan,argentin,chil,buenos_aires,de,peso,venezuela,lateinamerikan,lateinamerikas,kolumbi,mercosur,stadt,lula,sudamerika,sudamerikan,mexikos,real,cardoso,paulo,men,chávez,sao_paulo,peru,fox,region,bolivi,nafta,ecuador,fernando,kirchn,la,pesos,chavez,kris,staatschef,chilen,uruguay,caracas,cavallo,brasilia,bundesstaat,hauptstadt,kongress,karib,venezolan,wirtschaftsminist,rio_de_janeiro,arm,paraguay,silva,freihandelszon,dollar,ausserd,rio,nordamerikan,venezuelas,kontinent,armut,kolumbian,são,national,panama,wirtschaftspolit,sozial,provinz,nicaragua,inzwisch,san,pri,de_la,indian,pinochet,fujimori,peruan,sudamerikas,zedillo,guatemala,lima,ortszeit,air,jos,do,buenos,inflation,moral,milliarden_dollar,lokal,duhald,domingo,erstmal,rua,santiago,eduardo,link,chiapas
